id,venue,long_name
0,Others,Unranked 
1,EMSE,Empirical Software Engineering
2,JSS,Journal of System and Software
3,IEEE Software,IEEE Software
4,TSE,IEEE Transactions of Software Engineering
5,SQJ,Software Quality Journal
6,IST,Information and Software Technology
7,JSEP,Journal of Software: Evolution and Process
8,SCP,Science of Computer Programming
9,SPE,Software: Practice and Experience
10,JSME,Journal of Software Maintenance and Evolution: Research and Practice
11,Software Engineering Notes,Software Engineering Notes
12,Annals of Software Engineering,Annals of Software Engineering
13,ICSME,International Conference on Software Maintenance and Evolution
14,ICSE,International Conference on Software Engineering
15,MSR,Mining Software Repositories
16,SANER,"Software Analysis, Evolution, and Reengineering/European Conference on Software Maintenance and Reengineering/Working Conference on Reverse Engineering"
17,ICPE,International Conference on Performance Engineering
18,FSE,International Symposium on the Foundations of Software Engineering
22,CASCON,Centre for Advanced Studies Conference
23,ICPC/IWPC,International Conference/Workshop on Program Comprehension
25,ICST,"International Conference on Software Testing, Verification, and Validation"
26,APSEC,Asia Pacific Software Engineering Conference
27,WSE,International Symposium on Web Systems Evolution
28,MESOCA,International  Workshop on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems
29,SCAM,International Working Conference on Source Code Analysis and Manipulation
30,PROMISE,International Conference on Predictive Models in Software Engineering
31,ICSOFT,International Conference on Software and Data Technologies
32,ISSRE,International Symposium on Software Reliability Engineering
33,ASE,International Conference on Automated Software Engineering
34,ESEM,International Symposium on Empirical Software Engineering and Measurement
35,COMPSAC,Computer Software and Applications Conference
36,QSIC,International Conference on Quality Software
37,ISSTA,International Conference on Software Testing and Analysis
38,ICWS,International Conference on Web Services
39,SSIRI,International Conference on Secure Software Integration and Reliability Improvement
40,KCSD,International Workshop on Knowledge Collaboration in Software Development
41,AOSD,International Conference on Aspect-Oriented Software Development
42,WOSP,International Workshop on Software and Performance
43,SAC,Symposium on Applied Computing
45,METRICS,International Software Metrics Symposium
46,IWPSE,International Workshop on Principles of Software Evolution
47,ECOOP,European Conference on Object-Oriented Programming
48,ICEIS,International Conference on Enterprise Information Systems
49,SOFT-ENG,International Conference on Advances and Trends in Software Engineering
53,MUD,Workshop on Mining Unstructured Data
55,VISSOFT,Working Conference on Software Visualization
56,AWSA,ASERC Workshop on Software Architecture
57,ICDE,International Conference on Data Engineering
58,QRS,"International Conference on Software Quality, Reliability and Security"
59,ASE,Automated Software Engineering
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
